NombreProyecto,NombreEstacionPeaje,Departamento,Municipio,TAR_PLENA_I,TAR_PLENA_II,TAR_PLENA_III,TAR_PLENA_IV,TAR_PLENA_V,TAR_PLENA_VI,TAR_PLENA_VII,TAR_PLENA_VIII,FechaUltimoCambiodeTarifa
ARMENIA-PEREIRA-MANIZALES,CIRCASIA,QUINDÍO,FILANDIA,13800,17600,17600,17600,42900,52600,58600,0,2019-01-16T00:00:00.000
ARMENIA-PEREIRA-MANIZALES,COROZAL,VALLE DEL CAUCA,SEVILLA,10400,12600,12600,12600,30700,38400,44600,0,2019-01-16T00:00:00.000
ARMENIA-PEREIRA-MANIZALES,PAVAS,CALDAS,MANIZALES,10400,12600,12600,12600,30700,38400,44600,0,2019-01-16T00:00:00.000
ARMENIA-PEREIRA-MANIZALES,SAN BERNARDO,CALDAS,MANIZALES,10400,12600,12600,12600,30700,38400,44600,0,2019-01-16T00:00:00.000
ARMENIA-PEREIRA-MANIZALES,SANTÁGUEDA,CALDAS,MANIZALES,10400,12600,12600,12600,30700,38400,44600,0,2019-01-16T00:00:00.000
ARMENIA-PEREIRA-MANIZALES,TARAPACÁ I,CALDAS,CHINCHINÁ,11500,15200,15200,15200,38100,50400,56300,0,2019-01-16T00:00:00.000
ARMENIA-PEREIRA-MANIZALES,TARAPACÁ II,RISARALDA,SANTA ROSA DE CABAL,11500,15200,15200,15200,38100,50400,56300,0,2019-01-16T00:00:00.000
BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA,CAIQUERO,CUNDINAMARCA,NOCAIMA,9300,12100,30000,36100,41500,0,0,0,2019-01-16T00:00:00.000
BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA,SIBERIA,CUNDINAMARCA,TENJO,10000,14300,12000,16000,28100,37700,41400,0,2019-01-16T00:00:00.000
BOGOTÁ - VILLAVICENCIO,BOQUERÓN I,CUNDINAMARCA,CHIPAQUE,11900,35300,17800,47100,52900,58800,70500,0,2018-11-16T00:00:00.000
BOGOTÁ - VILLAVICENCIO,BOQUERÓN II,CUNDINAMARCA,CHIPAQUE,11900,35300,17800,47100,52900,58800,70500,0,2018-11-16T00:00:00.000
BOGOTÁ - VILLAVICENCIO,NARANJAL,CUNDINAMARCA,QUETAME,10200,26600,20100,39400,45900,52900,58800,0,2018-11-16T00:00:00.000
BOGOTÁ - VILLAVICENCIO,PIPIRAL,META,VILLAVICENCIO,16600,33000,22500,39400,43000,65800,85100,0,2018-11-16T00:00:00.000
CARTAGENA-BARRANQUILLA,MARAHUACO,BOLÍVAR,CARTAGENA DE INDIAS,11300,17200,12300,21800,68700,91800,101900,0,2019-01-16T00:00:00.000
CARTAGENA-BARRANQUILLA,PAPIROS,ATLÁNTICO,BARRANQUILLA,4800,5700,11400,20200,63600,85000,94400,0,2019-01-16T00:00:00.000
CARTAGENA-BARRANQUILLA,PUERTO COLOMBIA,ATLÁNTICO,BARRANQUILLA,11300,17200,12300,21800,68700,91800,101900,0,2019-01-16T00:00:00.000
DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,GUARNE,ANTIOQUIA,COPACABANA,12000,20900,16700,20900,41600,59300,59300,0,2019-01-01T00:00:00.000
DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,LAS PALMAS,ANTIOQUIA,ENVIGADO,8700,10500,10500,10500,23300,31400,35100,0,2019-01-01T00:00:00.000
FONTIBÓN - FACATATIVÁ - LOS ALPES,CORZO,CUNDINAMARCA,MADRID,8000,12000,10400,13900,23600,31900,34500,0,2019-01-06T00:00:00.000
FONTIBÓN - FACATATIVÁ - LOS ALPES,RÍO BOGOTÁ,CUNDINAMARCA,FUNZA,8000,12000,10400,13900,23600,31900,34500,0,2019-01-06T00:00:00.000
SANTA MARTA-RIOHACHA-PARAGUACHÓN,ALTO PINO,LA GUAJIRA,MANAURE,9600,14800,11900,18900,27700,44700,56400,0,2019-01-16T00:00:00.000
SANTA MARTA-RIOHACHA-PARAGUACHÓN,EL EBANAL,LA GUAJIRA,RIOHACHA,9600,14800,11900,18900,27700,44700,56400,0,2019-01-16T00:00:00.000
SANTA MARTA-RIOHACHA-PARAGUACHÓN,NEGUANJE,MAGDALENA,SANTA MARTA,9600,14800,11900,18900,27700,44700,56400,0,2019-01-16T00:00:00.000
